fare_amount,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,hourofday,dayofweek
8.1,1,-73.973731,40.791909999999994,-73.962737,40.767317999999996,14,4
4.5,2,-73.98649499999999,40.739278000000006,-73.986083,40.730933,10,6
2.9,1,-73.95604300000001,40.772026000000004,-73.956245,40.773934000000004,22,3
7.0,1,-74.006557,40.705797,-73.980017,40.713617,6,3
6.5,1,-73.98644300000001,40.741611999999996,-73.990215,40.746466999999996,10,2
15.0,1,-73.96014404,40.7789917,-73.98536682,40.73873138,17,6
5.5,1,-73.981625,40.74957,-73.97639000000001,40.754807,18,0
9.0,3,-73.99884,40.734719,-73.978865,40.72422,21,1
14.0,2,-73.986827,40.742839000000004,-73.94695899999999,40.780063,19,1
10.1,3,-73.965376,40.762076,-73.986343,40.758368,22,4
5.5,6,-73.96926117,40.80039978,-73.97198486,40.79453659,1,5
10.5,4,-74.007502,40.725875,-73.990043,40.757123,15,0
9.0,6,-73.97909,40.744279999999996,-73.989462,40.74968,12,1
5.3,1,-73.951352,40.7703,-73.962603,40.76995,21,3
5.3,1,-73.98058,40.742708,-73.98549799999999,40.731573,7,3
7.3,1,-74.004312,40.752482,-73.982525,40.773105,12,2
6.5,1,-73.978246,40.763588,-73.95982099999999,40.772751,13,3
12.9,2,-73.97958100000001,40.784483,-73.957616,40.762995000000004,20,2
11.7,1,-73.958134,40.760767,-73.98814,40.723834000000004,3,5
9.3,2,-73.966836,40.804272,-73.981796,40.772058,1,6
13.3,5,-73.843245,40.778665000000004,-73.828713,40.766257,1,6
4.1,2,-73.973502,40.748408000000005,-73.98113000000001,40.741228,18,6
14.1,1,-73.982222,40.753847,-74.01593000000001,40.71014,2,6
5.3,1,-73.98984,40.760729,-73.99619399999999,40.749293,1,5
5.5,6,-73.988332,40.768941999999996,-73.987267,40.761007,1,5
8.1,1,-73.968912,40.761105,-73.950373,40.771587,0,1
10.0,1,-73.95825400000001,40.769588,-73.98352,40.769549,21,4
31.33,1,-73.992132,40.748754999999996,-73.9408,40.716338,20,1
28.9,1,-73.874651,40.7741,-73.987662,40.74134,8,2
5.3,1,-74.010545,40.719308000000005,-74.001357,40.731177,23,5
3.7,1,-73.990092,40.746632,-73.983588,40.747246999999994,7,2
9.7,1,-73.96921800000001,40.761340999999994,-73.963923,40.776819,23,5
6.0,1,-73.982061,40.743171999999994,-73.99373299999999,40.735817,22,4
10.1,1,-73.981008,40.744533000000004,-73.983737,40.720037,19,2
7.0,3,-73.99206,40.737627,-74.00341999999999,40.727632,15,1
16.1,4,-73.994212,40.728516,-73.973125,40.792991,16,2
12.0,2,-74.00793900000001,40.716943,-73.978811,40.752333,15,4
10.5,1,-73.969317,40.757306,-73.992357,40.749038,2,4
6.5,1,-73.97789,40.764371999999995,-73.977637,40.753496999999996,14,4
27.3,2,-74.008278,40.707282,-73.979422,40.791053000000005,2,6
6.0,6,-74.007097,40.728957,-74.00999200000001,40.714517,16,4
7.3,1,-73.973938,40.794137,-73.958665,40.818295,1,2
13.0,2,-73.98548000000001,40.763103,-73.98978000000001,40.74068,18,1
7.3,1,-73.991545,40.750372,-73.978048,40.763228000000005,11,4
7.5,1,-73.982073,40.766693,-73.97264,40.762413,23,1
4.9,3,-74.01205999999999,40.707132,-73.966497,40.758472,8,6
6.5,1,-73.96158100000001,40.755638,-73.95806,40.768468,22,4
14.0,1,-73.98841999999999,40.74595,-73.95781,40.78378,16,4
13.7,5,-73.99306,40.7292,-73.953682,40.780905,22,3
9.3,5,-73.99202,40.749632,-73.97873,40.762533000000005,22,2
38.5,2,-73.9792,40.7626,-73.8361,40.8931,15,2
8.0,1,-73.960847,40.756775,-73.979928,40.755263,21,0
5.3,2,-73.98106,40.75019,-73.965563,40.756038000000004,13,4
6.9,2,-73.983577,40.743990000000004,-74.00456700000001,40.741896999999994,22,0
11.5,1,-73.98935999999999,40.762871999999994,-73.975902,40.749831,9,5
27.0,1,-73.986804,40.744508,-73.955373,40.690538000000004,12,3
5.5,1,-73.978243,40.74824,-73.988637,40.74113,1,5
22.5,3,-73.985089,40.725946,-73.977903,40.659379,12,6
6.0,1,-73.97270966,40.79325104,-73.96786499,40.80181122,9,4
8.9,2,-73.95899200000001,40.764463,-73.97968,40.747347,12,1
7.0,3,-73.98220825,40.77795029,-73.98281097,40.76171494,19,1
7.3,1,-73.954065,40.774575,-73.981267,40.784452,20,2
3.3,5,-73.987945,40.721422,-73.98980300000001,40.719117,7,5
15.5,1,-74.003787,40.748205,-73.99256700000001,40.715182,8,0
6.5,1,-73.954516,40.707452,-73.961556,40.71414,9,6
4.5,1,-73.962052,40.763874,-73.97261800000001,40.759339000000004,10,1
10.0,6,-73.96769714,40.79764175,-73.98937225,40.77436066,12,1
5.3,1,-74.00213000000001,40.729709,-73.989278,40.726105,2,5
6.0,1,-73.986088,40.740107,-73.978236,40.750865000000005,17,3
3.7,1,-73.949793,40.787442,-73.954368,40.778884000000005,20,1
18.5,6,-73.97124699999999,40.74858,-74.012962,40.71443,13,1
5.7,4,-73.98485500000001,40.748188,-73.974928,40.74177,23,2
6.5,2,-73.974935,40.790095,-73.964365,40.807165000000005,18,0
3.7,1,-74.00223000000001,40.729442,-74.004448,40.732133000000005,21,6
8.9,4,-74.00435300000001,40.746035,-73.987585,40.762941,15,3
10.5,3,-73.98563,40.747184999999995,-73.968467,40.762027,17,4
7.0,1,-73.98992,40.734446999999996,-73.97699200000001,40.726687,19,0
4.9,1,-74.01625,40.704913,-74.011697,40.710753000000004,14,6
14.1,2,-73.994783,40.732425,-73.97568000000001,40.787977000000005,21,3
9.5,1,-73.98503000000001,40.727892,-73.990877,40.748670000000004,9,0
12.5,1,-73.989798,40.701716999999995,-73.968852,40.677482,17,0
6.5,1,-73.965496,40.758761,-73.97532,40.750979,10,5
8.5,1,-73.963359,40.766104999999996,-73.94037,40.794794,18,4
15.0,4,-73.99169499999999,40.755403,-73.98741,40.722453,21,3
4.1,5,-73.960505,40.761755,-73.952067,40.76603,1,2
4.0,2,-73.985197,40.731987,-73.98009,40.726997,23,4
9.3,2,-73.95249799999999,40.786735,-73.977352,40.764633,16,5
8.5,4,-74.000796,40.761941,-73.981226,40.784366,22,2
26.0,1,-73.97169,40.750135,-73.96884200000001,40.793592,14,2
7.5,2,-73.962749,40.774840000000005,-73.970407,40.761582000000004,13,4
9.7,1,-73.975481,40.686774,-74.00493900000001,40.721416999999995,16,6
21.5,1,-74.00270844,40.73939514,-74.00270844,40.73939514,8,3
5.0,1,-74.00591999999999,40.712182,-74.013598,40.71568,6,4
6.9,4,-73.971372,40.759638,-73.986287,40.757692,18,3
6.1,1,-73.98159100000001,40.746465,-73.984978,40.752722,10,5
15.5,1,-73.96422577,40.76473618,-73.99891663,40.7545166,20,5
8.1,1,-73.972998,40.753183,-73.94639000000001,40.772613,20,5
11.0,2,-73.94853973,40.78226852,-73.94759369,40.7777977,7,0
2.5,1,-73.981055,40.784406,-73.972477,40.786509,2,0
4.5,1,-73.988962,40.750347,-73.99528000000001,40.753027,7,4
11.0,1,-73.97466700000001,40.759622,-73.95161999999999,40.769802,10,2
16.1,1,-73.999501,40.717774,-73.987993,40.759510999999996,20,3
8.9,2,-73.97829399999999,40.752136,-73.984736,40.768387,13,5
4.1,1,-73.973438,40.789753000000005,-73.964412,40.802238,10,4
15.0,1,-73.948128,40.782925,-73.981217,40.747217,19,6
10.0,1,-73.960802,40.761202000000004,-73.97617,40.737628,22,2
16.1,1,-73.97236600000001,40.752765000000004,-74.000785,40.714588,20,3
9.7,1,-73.975303,40.733033,-74.00586,40.711577,20,3
